iter	Passed	Remaining
202	773	3036
203	774	3023
204	776	3011
205	778	2999
206	779	2986
207	789	3007
208	791	2995
209	792	2982
210	794	2970
211	795	2957
212	803	2968
213	804	2955
214	806	2943
215	807	2930
216	808	2918
217	809	2905
218	811	2893
219	823	2921
220	826	2912
221	827	2900
222	829	2890
223	830	2878
224	832	2867
225	834	2856
226	835	2845
227	837	2834
228	838	2824
229	845	2829
230	848	2823
231	850	2814
232	853	2808
233	854	2798
234	860	2799
235	863	2795
236	865	2785
237	866	2774
238	868	2765
239	878	2783
240	881	2774
241	882	2764
242	891	2778
243	895	2773
244	897	2764
245	900	2758
246	906	2762
247	908	2753
248	910	2747
249	912	2738
250	914	2729
251	920	2733
252	922	2723
253	923	2713
254	925	2703
255	927	2694
256	929	2687
257	936	2692
258	938	2685
259	940	2675
260	941	2666
261	942	2656
262	944	2646
263	952	2655
264	954	2648
265	957	2640
266	958	2631
267	960	2622
268	969	2635
269	972	2628
270	974	2620
271	981	2627
272	983	2618
273	985	2610
274	986	2601
275	988	2592
276	989	2583
277	999	2596
278	1001	2587
279	1004	2583
280	1006	2574
281	1012	2578
282	1014	2570
283	1016	2561
284	1017	2553
285	1019	2544
286	1020	2535
287	1022	2526
288	1026	2526
289	1028	2517
290	1036	2524
291	1037	2515
292	1042	2515
293	1044	2507
294	1045	2498
295	1047	2491
296	1049	2483
297	1050	2475
298	1052	2467
299	1059	2471
300	1061	2464
301	1063	2457
302	1064	2449
303	1066	2441
304	1071	2442
305	1073	2434
306	1074	2426
307	1076	2419
308	1078	2411
309	1079	2403
310	1081	2396
311	1092	2408
312	1094	2402
313	1097	2397
314	1102	2396
315	1103	2389
316	1105	2381
317	1107	2374
318	1108	2367
319	1110	2359
320	1111	2351
321	1113	2344
322	1115	2338
323	1117	2331
324	1119	2324
325	1120	2316
326	1129	2324
327	1131	2317
328	1132	2309
329	1133	2301
330	1135	2294
331	1136	2286
332	1141	2285
333	1143	2279
334	1144	2272
335	1149	2271
336	1151	2265
337	1160	2272
338	1161	2265
339	1171	2274
340	1173	2268
341	1176	2262
342	1178	2256
343	1179	2250
344	1181	2243
345	1183	2236
346	1192	2244
347	1194	2237
348	1195	2230
349	1197	2223
350	1198	2216
351	1206	2220
352	1208	2214
353	1209	2207
354	1211	2200
355	1212	2193
356	1225	2207
357	1227	2200
358	1237	2209
359	1239	2203
360	1241	2197
361	1243	2191
362	1253	2200
363	1257	2197
364	1259	2190
365	1260	2184
366	1267	2185
367	1268	2179
368	1270	2172
369	1272	2166
370	1274	2160
371	1275	2153
372	1281	2154
373	1283	2148
374	1285	2141
375	1287	2137
376	1289	2131
377	1296	2132
378	1299	2129
379	1301	2123
380	1303	2117
381	1308	2116
382	1311	2113
383	1317	2113
384	1318	2106
385	1324	2106
386	1326	2100
387	1327	2093
388	1328	2087
389	1334	2086
390	1342	2090
391	1344	2085
392	1346	2079
393	1347	2073
394	1349	2067
395	1354	2066
396	1357	2062
397	1359	2055
398	1361	2050
399	1362	2044
400	1365	2039
401	1372	2042
402	1374	2036
403	1376	2030
404	1381	2029
405	1386	2028
406	1388	2022
407	1390	2017
408	1392	2011
409	1393	2005
410	1396	2001
411	1406	2007
412	1408	2002
413	1410	1996
414	1412	1991
415	1419	1993
416	1423	1990
417	1426	1985
418	1436	1992
419	1439	1987
420	1452	1996
421	1453	1990
422	1455	1984
423	1457	1979
424	1458	1973
425	1464	1973
426	1466	1967
427	1467	1961
428	1470	1956
429	1476	1957
430	1479	1952
431	1480	1946
432	1482	1940
